"areasymbol","cokey","claytotal_r","sandtotal_r","silttotal_r","hzdept_r","om_r","kffact","kwfact"
"CA708",27089975,NA,NA,NA,0,NA,NA,NA
"CA708",27089976,NA,NA,NA,0,NA,NA,NA
"CA708",27089977,NA,NA,NA,0,NA,NA,NA
"CA708",27089978,20,42.1,37.9,0,2,0.32,0.15
"CA708",27089978,30,35.9,34.1,20,0.4,0.32,0.1
"CA708",27089978,NA,NA,NA,117,NA,NA,NA
"CA708",27089982,3,79,18,0,4,0.05,0.02
"CA708",27089982,3,79,18,13,0.3,0.1,0.05
"CA708",27089982,NA,NA,NA,64,NA,NA,NA
"CA708",27089983,3,79,18,0,4,0.2,0.1
"CA708",27089983,3,79,18,18,0.3,0.32,0.17
"CA708",27089983,NA,NA,NA,36,NA,NA,NA
"CA708",27089985,3,80.2,16.8,0,2,0.24,0.1
"CA708",27089985,3,79,18,8,0.4,0.24,0.1
"CA708",27089985,NA,NA,NA,46,NA,NA,NA
"CA708",27089986,10,66.9,23.1,0,4,0.2,0.2
"CA708",27089986,10,66.9,23.1,20,0.4,0.28,0.28
"CA708",27089986,10,81.1,8.9,94,0.15,0.28,0.15
"CA708",27089986,NA,NA,NA,114,NA,NA,NA
"CA708",27089989,NA,NA,NA,0,NA,NA,NA
"CA708",27089990,3,80.2,16.8,0,2,0.24,0.1
"CA708",27089990,3,79,18,8,0.4,0.24,0.1
"CA708",27089990,NA,NA,NA,46,NA,NA,NA
"CA708",27089993,NA,NA,NA,0,88.25,NA,NA
"CA708",27089993,0,92.1,7.9,1,3.03,0.02,0.02
"CA708",27089993,0,95.5,4.5,8,0.34,0.02,0.02
"CA708",27089993,0,94.9,5.1,27,0.21,0.02,0.02
"CA708",27089993,2.6,74.3,23.1,33,6.47,0.2,0.1
"CA708",27089993,2.6,65.9,31.5,49,5.11,0.28,0.1
"CA708",27089993,2,64.5,33.5,79,3.46,0.37,0.1
"CA708",27089993,0.7,76.7,22.6,102,0.31,0.43,0.05
"CA708",27089993,1.7,57.5,40.8,135,0.52,0.55,0.02
"CA708",27089995,NA,NA,NA,0,80,NA,NA
"CA708",27089995,0,98.5,1.5,3,3,0.02,0.02
"CA708",27089995,0,98.5,1.5,10,0.4,0.02,0.02
"CA708",27089995,0,93.5,6.5,85,0.4,0.02,0.02
"CA708",27089995,0,93.5,6.5,118,0.4,0.02,0.02
"CA708",27089995,0,93.5,6.5,128,0.4,0.02,0.02
"CA708",27089995,5,65.6,29.4,140,2,0.32,0.1
"CA708",27089996,NA,NA,NA,0,88,NA,NA
"CA708",27089996,2,80.9,17.1,2,3.5,0.1,0.1
"CA708",27089996,4,78.3,17.7,14,6,0.05,0.02
"CA708",27089996,5,78.5,16.5,22,4,0.05,0.02
"CA708",27089996,1,68.9,30.1,73,0.3,0.43,0.1
"CA708",27089997,NA,NA,NA,0,88,NA,NA
"CA708",27089997,1,80.6,18.4,3,3,0.1,0.02
"CA708",27089997,0,93.5,6.5,13,3,0.02,0.02
"CA708",27089997,4,66.3,29.7,33,2.5,0.17,0.02
"CA708",27089997,5,65.4,29.6,65,2,0.28,0.02
"CA708",27089997,5,65.4,29.6,65,2,0.28,0.02
"CA708",27089997,7,69.1,23.9,100,1,0.28,0.02
"CA708",27089998,NA,NA,NA,0,80,NA,NA
"CA708",27089998,3,67.3,29.7,2,6,0.17,0.05
"CA708",27089998,3,67.3,29.7,9,5,0.17,0.05
"CA708",27089998,4,79.2,16.8,18,4,0.17,0.05
"CA708",27089998,4,79.2,16.8,29,3,0.1,0.02
"CA708",27089998,3,80.2,16.8,58,1,0.32,0.05
"CA708",27089998,3,79,18,84,0.5,0.32,0.05
"CA708",27089999,NA,NA,NA,0,86,NA,NA
"CA708",27089999,2.2,91.8,6,2,8.1,0.02,0.02
"CA708",27089999,1.8,92.6,5.6,6,1.4,0.02,0.02
"CA708",27089999,1.3,95.7,3,18,0.9,0.02,0.02
"CA708",27089999,6.4,70.3,23.3,30,4.5,0.2,0.15
"CA708",27089999,8.5,54.6,36.9,50,7.4,0.32,0.32
"CA708",27089999,11.4,43.7,44.9,68,4.8,0.37,0.2
"CA708",27089999,4.9,73.3,21.8,115,0.5,0.32,0.02
"CA708",27089999,4.8,80,15.2,145,1,0.24,0.02
"CA708",27089999,2.9,81.8,15.3,167,0.7,0.24,0.02
"CA708",27090000,NA,NA,NA,0,86,NA,NA
"CA708",27090000,2.2,91.8,6,2,8.1,0.02,0.02
"CA708",27090000,1.8,92.6,5.6,6,1.4,0.02,0.02
"CA708",27090000,1.3,95.7,3,18,0.9,0.02,0.02
"CA708",27090000,6.4,70.3,23.3,30,4.5,0.2,0.15
"CA708",27090000,8.5,54.6,36.9,50,7.4,0.32,0.32
"CA708",27090000,11.4,43.7,44.9,68,4.8,0.37,0.2
"CA708",27090000,4.9,73.3,21.8,115,0.5,0.32,0.02
"CA708",27090000,4.8,80,15.2,145,1,0.24,0.02
"CA708",27090000,2.9,81.8,15.3,167,0.7,0.24,0.02
"CA708",27090001,NA,NA,NA,0,80,NA,NA
"CA708",27090001,2,96.5,1.5,1,6,0.02,0.02
"CA708",27090001,2,96.5,1.5,4,5,0.02,0.02
"CA708",27090001,1,92.5,6.5,12,0.5,0.02,0.02
"CA708",27090001,7,69.1,23.9,17,5,0.2,0.1
"CA708",27090001,10,68.5,21.5,48,6,0.32,0.1
"CA708",27090001,8,68.5,23.5,77,0.7,0.37,0.02
"CA708",27090002,NA,NA,NA,0,88.25,NA,NA
"CA708",27090002,0,92.1,7.9,1,3.03,0.02,0.02
"CA708",27090002,0,95.5,4.5,8,0.34,0.02,0.02
"CA708",27090002,0,94.9,5.1,27,0.21,0.02,0.02
"CA708",27090002,2.6,74.3,23.1,33,6.47,0.2,0.1
"CA708",27090002,2.6,65.9,31.5,49,5.11,0.28,0.1
"CA708",27090002,2,64.5,33.5,79,3.46,0.37,0.1
"CA708",27090002,0.7,76.7,22.6,102,0.31,0.43,0.05
"CA708",27090002,1.7,57.5,40.8,135,0.52,0.55,0.02
"CA708",27090002,1.7,57.5,40.8,135,0.52,0.55,0.02
"CA708",27090003,NA,NA,NA,0,80,NA,NA
"CA708",27090003,2,79.7,18.3,2,6,0.1,0.02
"CA708",27090003,2,79.7,18.3,9,5,0.17,0.05
"CA708",27090003,1,92.5,6.5,24,4.5,0.02,0.02
"CA708",27090003,3,67.3,29.7,33,4,0.24,0.05
"CA708",27090003,3,67.3,29.7,51,6,0.32,0.1
"CA708",27090003,2,79.7,18.3,89,0.5,0.32,0.05
"CA708",27090004,NA,NA,NA,0,88,NA,NA
"CA708",27090004,0,95.4,4.6,3,1,0.02,0.02
"CA708",27090004,0,94.7,5.3,7,0.56,0.02,0.02
"CA708",27090004,0,95.1,4.9,17,0.69,0.02,0.02
"CA708",27090004,0,88,12,22,1.2,0.05,0.02
"CA708",27090004,4.3,70,25.7,35,1.8,0.15,0.02
"CA708",27090004,3.5,76.1,20.4,55,1,0.24,0.02
"CA708",27090004,3.5,76.1,20.4,55,1,0.24,0.02
"CA708",27090004,NA,NA,NA,127,NA,NA,NA
"CA708",27090006,NA,NA,NA,0,80,NA,NA
"CA708",27090006,1.1,89.4,9.5,5,4.6,0.02,0.02
"CA708",27090006,1.1,86.3,12.6,14,4.3,0.02,0.02
"CA708",27090006,0.9,84.3,14.8,28,3.1,0.05,0.02
"CA708",27090006,1.3,83,15.7,39,2.7,0.05,0.02
"CA708",27090006,2.1,68.6,29.3,60,2.7,0.17,0.02
"CA708",27090006,1,69,30,92,1.5,0.02,0.02
"CA708",27090008,NA,NA,NA,0,80,NA,NA
"CA708",27090008,3,80.2,16.8,3,4,0.17,0.05
"CA708",27090008,3,80.2,16.8,12,3,0.1,0.02
"CA708",27090008,2,80.9,17.1,26,2,0.15,0.02
"CA708",27090008,1,92.5,6.5,67,1,0.02,0.02
"CA708",27090008,1,92.5,6.5,87,1,0.02,0.02
"CA708",27090008,0,93.5,6.5,117,0.5,0.02,0.02
"CA708",27090009,NA,NA,NA,0,88,NA,NA
"CA708",27090009,2,80.9,17.1,2,3.5,0.1,0.1
"CA708",27090009,4,78.3,17.7,14,6,0.05,0.02
"CA708",27090009,5,78.5,16.5,22,4,0.05,0.02
"CA708",27090009,1,68.9,30.1,73,0.3,0.43,0.1
"CA708",27090010,NA,NA,NA,0,80,NA,NA
"CA708",27090010,NA,NA,NA,4,70,NA,NA
"CA708",27090010,12,68.3,19.7,7,5,0.2,0.1
"CA708",27090010,15,65.9,19.1,27,4,0.2,0.1
"CA708",27090010,15,65.9,19.1,44,3,0.2,0.1
"CA708",27090010,2,67.8,30.2,73,1.5,0.2,0.02
"CA708",27090010,1,80.6,18.4,133,1,0.1,0.02
"CA708",27090011,NA,NA,NA,0,55.56,NA,NA
"CA708",27090011,2.8,69.7,27.5,2,16.82,0.15,0.1
"CA708",27090011,2.5,71,26.5,9,13.5,0.15,0.05
"CA708",27090011,2.8,63.6,33.6,25,10.65,0.17,0.05
"CA708",27090011,3.3,61.4,35.3,54,9.7,0.2,0.05
"CA708",27090011,3.7,57.1,39.2,76,5.92,0.28,0.1
"CA708",27090011,3.7,69.9,26.4,119,1.84,0.37,0.05
"CA708",27090013,NA,NA,NA,0,77.6,NA,NA
"CA708",27090013,1.7,74,24.3,2,15.9,0.24,0.05
"CA708",27090013,1.6,70.5,27.9,10,14.2,0.28,0.05
"CA708",27090013,2.2,56.7,41.1,25,14.5,0.37,0.1
"CA708",27090013,2.1,71.3,26.6,42,3.4,0.32,0.02
"CA708",27090013,NA,NA,NA,76,NA,NA,NA
"CA708",27090014,NA,NA,NA,0,55.56,NA,NA
"CA708",27090014,2.8,69.7,27.5,2,16.82,0.15,0.1
"CA708",27090014,2.5,71,26.5,9,13.5,0.15,0.05
"CA708",27090014,2.8,63.6,33.6,25,10.65,0.17,0.05
"CA708",27090014,3.3,61.4,35.3,54,9.7,0.2,0.05
"CA708",27090014,3.7,57.1,39.2,76,5.92,0.28,0.1
"CA708",27090014,3.7,69.9,26.4,119,1.84,0.37,0.05
"CA708",27090016,NA,NA,NA,0,77.6,NA,NA
"CA708",27090016,1.7,74,24.3,2,15.9,0.24,0.05
"CA708",27090016,1.6,70.5,27.9,10,14.2,0.28,0.05
"CA708",27090016,2.2,56.7,41.1,25,14.5,0.37,0.1
"CA708",27090016,2.1,71.3,26.6,42,3.4,0.32,0.02
"CA708",27090016,NA,NA,NA,76,NA,NA,NA
"CA708",27090017,NA,NA,NA,0,80,NA,NA
"CA708",27090017,NA,NA,NA,4,70,NA,NA
"CA708",27090017,12,68.3,19.7,7,5,0.2,0.1
"CA708",27090017,15,65.9,19.1,27,4,0.2,0.1
"CA708",27090017,15,65.9,19.1,44,3,0.2,0.1
"CA708",27090017,2,67.8,30.2,73,1.5,0.2,0.02
"CA708",27090017,1,80.6,18.4,133,1,0.1,0.02
"CA708",27090019,NA,NA,NA,0,80,NA,NA
"CA708",27090019,3,67.3,29.7,2,8,0.28,0.1
"CA708",27090019,3,67.3,29.7,5,7,0.28,0.1
"CA708",27090019,4,65,31,12,6,0.28,0.1
"CA708",27090019,4,65,31,19,5,0.28,0.02
"CA708",27090019,4,65,31,37,4,0.28,0.02
"CA708",27090019,NA,NA,NA,47,NA,NA,NA
"CA708",27090020,NA,NA,NA,0,80,NA,NA
"CA708",27090020,NA,NA,NA,4,70,NA,NA
"CA708",27090020,12,68.3,19.7,7,5,0.2,0.1
"CA708",27090020,15,65.9,19.1,27,4,0.2,0.1
"CA708",27090020,15,65.9,19.1,44,3,0.2,0.1
"CA708",27090020,2,67.8,30.2,73,1.5,0.2,0.02
"CA708",27090020,1,80.6,18.4,133,1,0.1,0.02
"CA708",27090021,NA,NA,NA,0,80,NA,NA
"CA708",27090021,3,67.3,29.7,1,16,0.24,0.24
"CA708",27090021,4,65,31,8,14,0.28,0.1
"CA708",27090021,4,65,31,27,13,0.37,0.05
"CA708",27090021,5,64.3,30.7,45,10,0.37,0.1
"CA708",27090021,7,69.1,23.9,67,1.3,0.37,0.1
"CA708",27090022,NA,NA,NA,0,25,NA,NA
"CA708",27090022,NA,NA,NA,16,25,NA,NA
"CA708",27090022,15,NA,NA,25,25,NA,NA
"CA708",27090022,1,92.5,6.5,35,8,0.02,0.02
"CA708",27090022,26,6.8,67.2,40,8,0.37,0.37
"CA708",27090022,10,NA,NA,65,1,NA,NA
"CA708",27090022,12,20.7,67.3,67,0.3,0.55,0.55
"CA708",27090022,10,5.8,84.2,89,0.3,0.64,0.64
"CA708",27090022,6,83.2,10.8,98,0.3,0.15,0.05
"CA708",27090022,1,80.6,18.4,112,0.3,0.1,0.05
"CA708",27090022,1,81.7,17.3,125,0.3,0.17,0.17
"CA708",27090024,NA,NA,NA,0,77.6,NA,NA
"CA708",27090024,1.7,74,24.3,2,15.9,0.24,0.05
"CA708",27090024,1.6,70.5,27.9,10,14.2,0.28,0.05
"CA708",27090024,2.2,56.7,41.1,25,14.5,0.37,0.1
"CA708",27090024,2.1,71.3,26.6,42,3.4,0.32,0.02
"CA708",27090024,NA,NA,NA,76,NA,NA,NA
"CA708",27090025,NA,NA,NA,0,55.56,NA,NA
"CA708",27090025,2.8,69.7,27.5,2,16.82,0.15,0.1
"CA708",27090025,2.5,71,26.5,9,13.5,0.15,0.05
"CA708",27090025,2.8,63.6,33.6,25,10.65,0.17,0.05
"CA708",27090025,3.3,61.4,35.3,54,9.7,0.2,0.05
"CA708",27090025,3.7,57.1,39.2,76,5.92,0.28,0.1
"CA708",27090025,3.7,69.9,26.4,119,1.84,0.37,0.05
"CA708",27090027,NA,NA,NA,0,88,NA,NA
"CA708",27090027,0,95.4,4.6,3,1,0.02,0.02
"CA708",27090027,0,94.7,5.3,7,0.56,0.02,0.02
"CA708",27090027,0,95.1,4.9,17,0.69,0.02,0.02
"CA708",27090027,0,88,12,22,1.2,0.05,0.02
"CA708",27090027,4.3,70,25.7,35,1.8,0.15,0.02
"CA708",27090027,3.5,76.1,20.4,55,1,0.24,0.02
"CA708",27090027,NA,NA,NA,127,NA,NA,NA
"CA708",27090029,NA,NA,NA,0,80,NA,NA
"CA708",27090029,1,98.4,0.6,7,18,0.02,0.02
"CA708",27090029,3,79,18,14,5,0.05,0.02
"CA708",27090029,2,68.2,29.8,33,2.5,0.28,0.05
"CA708",27090029,3,67.3,29.7,49,1.77,0.24,0.05
"CA708",27090029,4,65,31,89,1.5,0.28,0.1
"CA708",27090029,5,64.3,30.7,124,1,0.28,0.1
"CA708",27090030,NA,NA,NA,0,88,NA,NA
"CA708",27090030,0,95.4,4.6,3,1,0.02,0.02
"CA708",27090030,0,94.7,5.3,7,0.56,0.02,0.02
"CA708",27090030,0,95.1,4.9,17,0.69,0.02,0.02
"CA708",27090030,0,88,12,22,1.2,0.05,0.02
"CA708",27090030,4.3,70,25.7,35,1.8,0.15,0.02
"CA708",27090030,3.5,76.1,20.4,55,1,0.24,0.02
"CA708",27090030,3.5,76.1,20.4,55,1,0.24,0.02
"CA708",27090030,NA,NA,NA,127,NA,NA,NA
"CA708",27090031,NA,NA,NA,0,77.6,NA,NA
"CA708",27090031,1.7,74,24.3,2,15.9,0.24,0.05
"CA708",27090031,1.6,70.5,27.9,10,14.2,0.28,0.05
"CA708",27090031,2.2,56.7,41.1,25,14.5,0.37,0.1
"CA708",27090031,2.1,71.3,26.6,42,3.4,0.32,0.02
"CA708",27090031,NA,NA,NA,76,NA,NA,NA
"CA708",27090034,NA,NA,NA,0,80,NA,NA
"CA708",27090034,1,98.4,0.6,7,18,0.02,0.02
"CA708",27090034,3,79,18,14,5,0.05,0.02
"CA708",27090034,2,68.2,29.8,33,2.5,0.28,0.05
"CA708",27090034,3,67.3,29.7,49,1.77,0.24,0.05
"CA708",27090034,4,65,31,89,1.5,0.28,0.1
"CA708",27090034,5,64.3,30.7,124,1,0.28,0.1
"CA708",27090035,1,67.8,31.2,0,7,0.2,0.05
"CA708",27090035,2.4,80.5,17.1,3,6.9,0.1,0.02
"CA708",27090035,2.9,84,13.1,12,4.5,0.05,0.02
"CA708",27090035,2.4,82.6,15,35,4.5,0.15,0.02
"CA708",27090035,3.2,80.7,16.1,64,3.4,0.05,0.02
"CA708",27090035,2.8,83.4,13.8,90,2.8,0.05,0.02
"CA708",27090035,1.1,77.2,21.7,129,3.7,0.1,0.02
"CA708",27090037,3,67.3,29.7,0,5,0.17,0.05
"CA708",27090037,3,67.3,29.7,4,4,0.17,0.05
"CA708",27090037,3,80.2,16.8,19,3.5,0.1,0.02
"CA708",27090037,3,79,18,36,3,0.1,0.02
"CA708",27090037,3,80.2,16.8,65,2.5,0.24,0.05
"CA708",27090037,2,80.9,17.1,88,2,0.37,0.02
"CA708",27090037,NA,NA,NA,127,NA,NA,NA
"CA708",27090039,NA,NA,NA,0,80,NA,NA
"CA708",27090039,1,97.5,1.5,3,15.7,0.1,0.1
"CA708",27090039,3,80.2,16.8,6,33.6,0.2,0.2
"CA708",27090039,2,80.9,17.1,12,2.5,0.32,0.15
"CA708",27090039,3,80.2,16.8,29,1.2,0.37,0.1
"CA708",27090039,NA,NA,NA,37,NA,NA,NA
"CA708",27090040,NA,NA,NA,0,80,NA,NA
"CA708",27090040,3,67.3,29.7,3,8,0.24,0.15
"CA708",27090040,4,66.5,29.5,7,4,0.15,0.05
"CA708",27090040,5,64.3,30.7,18,3,0.24,0.05
"CA708",27090040,6,63.5,30.5,49,2,0.37,0.05
"CA708",27090040,3,67.3,29.7,62,1,0.43,0.02
"CA708",27090040,NA,NA,NA,95,NA,NA,NA
"CA708",27090041,5,65.6,29.4,0,0.4,0.24,0.1
"CA708",27090041,7,69.1,23.9,5,0.5,0.28,0.1
"CA708",27090041,9,67.7,23.3,12,0.4,0.28,0.15
"CA708",27090041,11,66,23,34,0.3,0.28,0.15
"CA708",27090041,15,65.9,19.1,65,0.2,0.32,0.17
"CA708",27090041,15,65.9,19.1,91,0.1,0.32,0.17
"CA708",27090042,NA,NA,NA,0,80,NA,NA
"CA708",27090042,3,67.3,29.7,3,8,0.24,0.15
"CA708",27090042,4,66.5,29.5,7,4,0.15,0.05
"CA708",27090042,5,64.3,30.7,18,3,0.24,0.05
"CA708",27090042,6,63.5,30.5,49,2,0.37,0.05
"CA708",27090042,3,67.3,29.7,62,1,0.43,0.02
"CA708",27090042,NA,NA,NA,95,NA,NA,NA
"CA708",27090043,NA,NA,NA,0,78,NA,NA
"CA708",27090043,NA,NA,NA,1,45,NA,NA
"CA708",27090043,3.6,79.7,16.7,5,15.7,0.1,0.05
"CA708",27090043,3.6,79.6,16.8,8,33.6,0.1,0.05
"CA708",27090043,1.5,86.1,12.4,10,3.5,0.02,0.02
"CA708",27090043,1.3,89,9.7,13,3,0.02,0.02
"CA708",27090043,2.9,83.5,13.6,20,2.3,0.05,0.02
"CA708",27090043,2.6,81.8,15.6,26,4.2,0.05,0.02
"CA708",27090043,1.4,90,8.6,40,4.1,0.02,0.02
"CA708",27090043,0,83.5,16.5,49,2,0.15,0.05
"CA708",27090043,0,93.5,6.5,99,1.5,0.02,0.02
"CA708",27090045,5,65.6,29.4,0,0.4,0.24,0.1
"CA708",27090045,7,69.1,23.9,5,0.5,0.28,0.1
"CA708",27090045,9,67.7,23.3,12,0.4,0.28,0.15
"CA708",27090045,11,66,23,34,0.3,0.28,0.15
"CA708",27090045,15,65.9,19.1,65,0.2,0.32,0.17
"CA708",27090045,15,65.9,19.1,91,0.1,0.32,0.17
"CA708",27090046,NA,NA,NA,0,80,NA,NA
"CA708",27090046,3,67.3,29.7,2,20,0.17,0.1
"CA708",27090046,5,65.6,29.4,9,3,0.17,0.1
"CA708",27090046,6,65,29,16,4,0.24,0.1
"CA708",27090046,5,65.6,29.4,30,3,0.24,0.1
"CA708",27090046,6,65,29,45,2,0.37,0.2
"CA708",27090046,5,65.4,29.6,62,1.5,0.37,0.15
"CA708",27090047,NA,NA,NA,0,80,NA,NA
"CA708",27090047,1,97.5,1.5,3,15.7,0.1,0.1
"CA708",27090047,3,80.2,16.8,6,33.6,0.2,0.2
"CA708",27090047,2,80.9,17.1,12,2.5,0.32,0.15
"CA708",27090047,3,80.2,16.8,29,1.2,0.37,0.1
"CA708",27090047,NA,NA,NA,37,NA,NA,NA
"CA708",27090048,NA,NA,NA,0,88,NA,NA
"CA708",27090048,1,80.6,18.4,3,3,0.1,0.02
"CA708",27090048,0,93.5,6.5,13,3,0.02,0.02
"CA708",27090048,4,66.3,29.7,33,2.5,0.17,0.02
"CA708",27090048,5,65.4,29.6,65,2,0.28,0.02
"CA708",27090048,7,69.1,23.9,100,1,0.28,0.02
"CA708",27090049,NA,NA,NA,0,88,NA,NA
"CA708",27090049,2,80.9,17.1,2,3.5,0.1,0.1
"CA708",27090049,4,78.3,17.7,14,6,0.05,0.02
"CA708",27090049,5,78.5,16.5,22,4,0.05,0.02
"CA708",27090049,1,68.9,30.1,73,0.3,0.43,0.1
"CA708",27090051,NA,NA,NA,0,88.25,NA,NA
"CA708",27090051,0,92.1,7.9,1,3.03,0.02,0.02
"CA708",27090051,0,95.5,4.5,8,0.34,0.02,0.02
"CA708",27090051,0,94.9,5.1,27,0.21,0.02,0.02
"CA708",27090051,2.6,74.3,23.1,33,6.47,0.2,0.1
"CA708",27090051,2.6,65.9,31.5,49,5.11,0.28,0.1
"CA708",27090051,2,64.5,33.5,79,3.46,0.37,0.1
"CA708",27090051,0.7,76.7,22.6,102,0.31,0.43,0.05
"CA708",27090051,1.7,57.5,40.8,135,0.52,0.55,0.02
"CA708",27090052,NA,NA,NA,0,77.6,NA,NA
"CA708",27090052,1.7,74,24.3,2,15.9,0.24,0.05
"CA708",27090052,1.6,70.5,27.9,10,14.2,0.28,0.05
"CA708",27090052,2.2,56.7,41.1,25,14.5,0.37,0.1
"CA708",27090052,2.1,71.3,26.6,42,3.4,0.32,0.02
"CA708",27090052,NA,NA,NA,76,NA,NA,NA
"CA708",27090054,NA,NA,NA,0,70,NA,NA
"CA708",27090054,13,45.4,41.6,3,25,0.32,0.24
"CA708",27090054,15,44.3,40.7,9,20,0.32,0.2
"CA708",27090054,18,43.2,38.8,17,9,0.28,0.15
"CA708",27090054,20,42.1,37.9,40,4,0.28,0.1
"CA708",27090054,25,38.5,36.5,64,2,0.32,0.15
"CA708",27090054,23,39.5,37.5,78,1,0.32,0.15
"CA708",27090054,15,65.9,19.1,120,2,0.24,0.05
"CA708",27090055,NA,NA,NA,0,80,NA,NA
"CA708",27090055,4,66.5,29.5,3,4,0.15,0.1
"CA708",27090055,6,65,29,11,3,0.17,0.1
"CA708",27090055,8,69.3,22.7,17,2.5,0.1,0.05
"CA708",27090055,12,68.6,19.4,43,2,0.1,0.02
"CA708",27090055,2,79.7,18.3,71,1,0.2,0.02
"CA708",27090055,7,82.3,10.7,123,0.75,0.15,0.02
"CA708",27090055,5,84,11,172,0.5,0.15,0.02
"CA708",27090057,NA,NA,NA,0,80,NA,NA
"CA708",27090057,NA,NA,NA,4,75,NA,NA
"CA708",27090057,3,80.1,16.9,7,2.5,0.49,0.49
"CA708",27090057,1,97.5,1.5,13,1.5,0.02,0.02
"CA708",27090057,0,93.5,6.5,19,0.75,0.02,0.02
"CA708",27090057,1,97.5,1.5,33,0.5,0.02,0.02
"CA708",27090057,1,98.4,0.6,60,0.4,0.02,0.02
"CA708",27090057,1,98.4,0.6,76,0.3,0.02,0.02
"CA708",27090057,1,92.5,6.5,84,0.2,0.02,0.02
"CA708",27090057,0,93.5,6.5,96,0.1,0.02,0.02
"CA708",27090059,NA,NA,NA,0,80,NA,NA
"CA708",27090059,3,67.3,29.7,2,8,0.28,0.1
"CA708",27090059,3,67.3,29.7,5,7,0.28,0.1
"CA708",27090059,4,65,31,12,6,0.28,0.1
"CA708",27090059,4,65,31,19,5,0.28,0.02
"CA708",27090059,4,65,31,37,4,0.28,0.02
"CA708",27090059,NA,NA,NA,47,NA,NA,NA
"CA708",27090060,NA,NA,NA,0,80,NA,NA
"CA708",27090060,4,65,31,2,15,0.2,0.05
"CA708",27090060,5,64.3,30.7,8,10,0.2,0.02
"CA708",27090060,5,65.6,29.4,22,7,0.15,0.02
"CA708",27090060,6,65,29,70,6,0.15,0.02
"CA708",27090060,4,66.5,29.5,105,3,0.17,0.02
"CA708",27090061,NA,NA,NA,0,80,NA,NA
"CA708",27090061,4,66.5,29.5,6,22,0.24,0.1
"CA708",27090061,4,66.5,29.5,15,10,0.24,0.05
"CA708",27090061,6,65,29,28,4,0.15,0.02
"CA708",27090061,5,65.6,29.4,40,3,0.17,0.02
"CA708",27090061,3,67.3,29.7,65,2,0.32,0.05
"CA708",27090063,NA,NA,NA,0,77.6,NA,NA
"CA708",27090063,1.7,74,24.3,2,15.9,0.24,0.05
"CA708",27090063,1.6,70.5,27.9,10,14.2,0.28,0.05
"CA708",27090063,2.2,56.7,41.1,25,14.5,0.37,0.1
"CA708",27090063,2.1,71.3,26.6,42,3.4,0.32,0.02
"CA708",27090063,NA,NA,NA,76,NA,NA,NA
"CA708",27090064,NA,NA,NA,0,80,NA,NA
"CA708",27090064,1,98.4,0.6,7,18,0.02,0.02
"CA708",27090064,3,79,18,14,5,0.05,0.02
"CA708",27090064,2,68.2,29.8,33,2.5,0.28,0.05
"CA708",27090064,3,67.3,29.7,49,1.77,0.24,0.05
"CA708",27090064,4,65,31,89,1.5,0.28,0.1
"CA708",27090064,5,64.3,30.7,124,1,0.28,0.1
"CA708",27090065,NA,NA,NA,0,80,NA,NA
"CA708",27090065,4,66.5,29.5,6,22,0.24,0.1
"CA708",27090065,4,66.5,29.5,15,10,0.24,0.05
"CA708",27090065,6,65,29,28,4,0.15,0.02
"CA708",27090065,5,65.6,29.4,40,3,0.17,0.02
"CA708",27090065,3,67.3,29.7,65,2,0.32,0.05
"CA708",27090066,NA,NA,NA,0,80,NA,NA
"CA708",27090066,8,68.5,23.5,2,16,0.15,0.05
"CA708",27090066,12,68.6,19.4,9,14,0.17,0.1
"CA708",27090066,16,65.1,18.9,23,12,0.28,0.15
"CA708",27090066,13,67.4,19.6,40,10,0.17,0.1
"CA708",27090066,11,66,23,51,8,0.2,0.02
"CA708",27090066,NA,NA,NA,71,NA,NA,NA
"CA708",27090067,NA,NA,NA,0,42.16,NA,NA
"CA708",27090067,8,70.1,21.9,5,16,0.2,0.15
"CA708",27090067,18,43.2,38.8,10,10,0.24,0.15
"CA708",27090067,22,41.1,36.9,15,8,0.24,0.1
"CA708",27090067,30,17.4,52.6,24,3.63,0.32,0.32
"CA708",27090067,32,17.9,50.1,46,1.72,0.37,0.24
"CA708",27090067,34,17.3,48.7,76,2,0.37,0.17
"CA708",27090067,40,30,30,103,1,0.28,0.1
"CA708",27090067,37,31.9,31.1,127,0.5,0.28,0.2
"CA708",27090068,NA,NA,NA,0,50,NA,NA
"CA708",27090068,13,45.4,41.6,3,25,0.32,0.24
"CA708",27090068,15,44.3,40.7,9,20,0.32,0.2
"CA708",27090068,18,43.2,38.8,17,9,0.28,0.15
"CA708",27090068,20,42.1,37.9,40,4,0.28,0.1
"CA708",27090068,25,38.5,36.5,64,2,0.32,0.15
"CA708",27090068,23,39.5,37.5,78,1,0.32,0.15
"CA708",27090068,15,65.9,19.1,120,2,0.24,0.05
"CA708",27090069,NA,NA,NA,0,80,NA,NA
"CA708",27090069,NA,NA,NA,4,75,NA,NA
"CA708",27090069,5,65.6,29.4,6,15,0.24,0.1
"CA708",27090069,5,65.6,29.4,10,14,0.24,0.1
"CA708",27090069,6,65,29,21,11,0.24,0.1
"CA708",27090069,7,69.1,23.9,37,10,0.2,0.05
"CA708",27090069,8,68.5,23.5,55,7,0.2,0.05
"CA708",27090069,9,69.3,21.7,87,6,0.24,0.05
"CA708",27090069,7,69.1,23.9,128,5,0.2,0.05
